date,transaction
2006-01-21,New York Mets Acquired RHP Jorge Julio and RHP John Maine from the Orioles in exchange for RHP Kris Benson.
2006-01-23,"Atlanta Braves Signed RHP Jorge Sosa to a one-year contract for the 2006 season, thus avoiding salary arbitration; Signed LHP Mike Remlinger to a Minor League contract with an invitation to attend Spring Training."
2006-01-23,Chicago Cubs Signed RHP Wade Miller to a one-year contract.
2006-01-23,Tampa Bay Devil Rays Signed LHP Casey Fossum to a two-year contract with a club option for 2008.
2006-01-24,"Baltimore Orioles Signed OF Jay Gibbons to a four-year contract; signed 1B Leo Daigle, OF Esix Snead and RHPs Eddy Rodriguez and Tyler Yates to Minor League contracts with invitations to Spring Training; invited nonroster Cs Brian Bock and Ryan Hubele, and nonroster RHPs Cory Morris and Scott Rice to Spring Training."
2006-01-24,"Minnesota Twins Agreed to terms with INF Nick Punto on a one-year contract, avoiding arbitration."
2006-01-24,"New York Yankees Reached an agreement with RHP Aaron Small on a one-year contract, thus avoiding arbitration."
2006-01-24,Toronto Blue Jays Signed RHP James Baldwin to a Minor League contract with an invitation to Spring Training.
2006-01-24,Washington Nationals Signed C Wiki Gonzalez to a Minor League contract and invited him to Spring Training.
2006-01-25,Chicago Cubs Purchased the contract of OF Angel Pagan from the New York Mets.
2006-01-25,Cleveland Indians Agreed to terms with 1B Ben Broussard on a one-year contract.
2006-01-25,"Colorado Rockies Signed RHP Miguel Asencio to a Minor League contract with an invitation to Spring Training, pending a physical; Invited LHPs Justin Hampson and Zack Parker, RHPs Jim Miller, Sandy Nin and Judd Songster, Cs Dan Conway and Chris Iannetta, and INFs Ian Stewart and Troy Tulowitzki to Spring Training."
2006-01-25,Kansas City Royals Signed 1B/DH Ken Harvey to a Minor League contract.
2006-01-25,Oakland Athletics Agreed to terms with Frank Thomas on a one-year contract and designated C John Baker for assignment.
2006-01-26,Seattle Mariners Agreed to terms on a one-year contract with RHP Gil Meche.
2006-01-27,"Boston Red Sox Acquired OF Coco Crisp, RHP David Riske and C Josh Bard from Cleveland for RHP Guillermo Mota, 3B Andy Marte, C Kelly Shoppach, cash considerations, and a player to be named or further cash considerations."
2006-01-27,Cleveland Indians Acquired OF Jason Michaels from Philadelphia for LHP Arthur Rhodes.
2006-01-27,"Acquired RHP Guillermo Mota, 3B Andy Marte, C Kelly Shoppach, cash considerations, and a player to be named or further cash considerations from Boston for OF Coco Crisp, RHP David Riske and C Josh Bard."
2006-01-27,Philadelphia Phillies Acquired LHP Arthur Rhodes from Cleveland for OF Jason Michaels.
2006-01-27,"Seattle Mariners Extended Spring Training invitations to Major League camp to 22 players: Pitchers Kevin Appier, Scott Atchison, Dave Burba, Francisco Cruceta, Rich Dorman, Lindsey Gulin, Jeff Harris, Jeff Heaverlo and Chris Jaile; catchers Corky Miller, Jeff Clement, Andrew Dominique and Rob Johnson; infielders Asdrubal Cabrera, Greg Dobbs, Rayon Lampe, Jose Morbon, Cody Ransom, Todd Sears, Matt Tuiasosopo and Fernando Vina; and outfielder Adam Jones."
2006-01-27,Tampa Bay Devil Rays Agreed to terms with RHP Jesus Colome on a one-year contract.
2006-01-27,Washington Nationals Signed 1B Daryle Ward and LHP Valerio De Los Santos to Minor League contracts with invitations to Spring Training.
2006-01-28,Texas Rangers Agreed to terms on one-year contracts with OF Gary Matthews Jr. and RHP Vicente Padilla.
2006-01-30,"Arizona Diamondbacks Invited the following players to Spring Training: Pitchers Randy Choate, Casey Daigle, Kevin Jarvis, Mike Koplove, Terry Mulholland, Bill Murphy and Neal Musser; catchers Juan Brito and Matt Morgan; infielders Jerry Gil and Justin Upton; outfielders Jarred Ball, Calos Quentin and Marland Williams."
2006-01-30,Tampa Bay Devil Rays Signed RHP Travis Harper to a one-year contract.
2006-01-31,Cincinnati Reds Signed RHP Rick White to a one-year contract.
2006-01-31,Los Angeles Dodgers Signed INF Ramon Martinez and RHP Kurt Ainsworth to Minor League contracts with invitations to Spring Training.
2006-01-31,"Milwaukee Brewers Signed RHPs Mike Jones and Carlos Villanueva, INF Hernan Iribarren, and OFs Nelson Cruz and Brad Nelson to one-year contracts."
2006-01-31,Minnesota Twins Signed DH Ruben Sierra to a Minor League contract and invited him to Major League Spring Training; Signed RHPs Pete Munro and Ryan Glynn and OF Tim Raines Jr. to Minor League contracts and assigned them to report to Minor League Spring Training.
2006-01-31,San Diego Padres Agreed to terms with C Mike Piazza on a one-year contract with a mutual option for 2007.
2006-01-31,Tampa Bay Devil Rays Signed INF Russell Branyan to a Minor League contract with an invitation to Spring Training.
2006-02-01,"Boston Red Sox Invited RHP Tim Bausher, RHP Matt Ginter, RHP Jimmy Serrano, LHP Craig Breslow, LHP Mike Bumatay, LHP Mike Holtz, LHP Phil Seibel, C Ken Huckaby, INF Willie Harris, INF Trent Durrington, INF Luis A. Jimenez, INF Rodney Nye, INF Dustin Pedroia, INF Josh Pressley, INF Enrique Wilson, OF Luke Allen, OF Ron Calloway, OF Gabe Kapler, OF Tyler Minges and OF Dustan Mohr to Spring Training."
2006-02-01,Cincinnati Reds Acquired RHP Rick White and designated RHP Bubba Nelson for assignment; named Mike LaCoss Minor League roving pitching instructor.
2006-02-01,"Kansas City Royals Invited nonroster RHPs Luis Cota, Kyle Snyder and Steve Stemle, and nonroster Cs Adam Donachie and Mat Tupman to Spring Training; Signed RHP Bob Keppel and OF Chad Allen to Minor League contracts with invitations to Spring Training."
2006-02-02,"Chicago Cubs Signed LHP Will Ohman and OF Juan Pierre to one-year contracts, avoiding arbitration."
2006-02-02,Colorado Rockies Signed RHP Sunny Kim and C Yorvit Torrealba to one-year contracts.
2006-02-02,Pittsburgh Pirates Agreed to terms with RHP Bryan Bullington.
2006-02-02,Washington Nationals Agreed to terms with RHP Felix Rodriguez on a one-year contract; Agreed to terms with SS Royce Clayton and OF George Lombard on Minor League contracts with invitations to Spring Training; Outrighted RHP Francis Beltran to Triple-A New Orleans.
2006-02-03,"Baltimore Orioles Agreed to terms with OF Luis Matos, LHP Tim Byrdak, OF Val Majewski, RHP Sendy Rleal and RHP Marino Salas on one-year contracts."
2006-02-03,Chicago Cubs Signed RHP Jason Simontacchi to a Minor League contract with an invitation to Spring Training.
2006-02-03,Cincinnati Reds Outrighted Bubba Nelson to Triple-A Louisville and invited him to Spring Training.
2006-02-03,"Houston Astros Signed 3B Morgan Ensberg to a one-year, $3.8-million contract."
2006-02-03,"Los Angeles Angels Signed C Jeff Mathis, C Mike Napoli, INF Howie Kendrick, OF Tommy Murphy and OF Reggie Willits to one-year contracts."
2006-02-03,"Milwaukee Brewers Signed RHP Jose Capellan, RHP Chris Demaria and INF Zach Sorensen to one-year contracts."
2006-02-03,San Diego Padres Designated LHP Rusty Tucker for assignment and released C Todd Greene.
2006-02-03,Texas Rangers Agreed to terms with OF Kevin Mench on a one-year contract.
2006-02-03,Washington Nationals Agreed to terms with RHP Steve Watkins and LHP Micah Bowie on Minor League contracts with invitations to Spring Training; Agreed to terms with LHP Oscar Alvarez and RHP Billy Sylvester on Minor League contracts.
2006-02-06,"Boston Red Sox Agreed with RHP Josh Beckett, OF Coco Crisp and SS Alex Gonzalez on one-year contracts; designated 1B Roberto Petagine for assignment."
2006-02-06,Pittsburgh Pirates Agreed to terms on a one-year contract with INF Yurendell DeCaster.
2006-02-06,Toronto Blue Jays Signed Bengie Molina to a one-year contract with an option for 2007.
2006-02-06,"Washington Nationals Signed RHP Andrew Good, RHP Anastacio Martinez and OF Michael Vento to Minor League contracts with invitations to Spring Training; Signed RHP Justin Echols and RHP David Gil to Minor League contracts."
2006-02-07,Arizona Diamondbacks Signed OF Jeff DaVanon to a one-year contract with a conditional player option for 2007 and designated LHP Michael Gosling for assignment.
2006-02-07,"Detroit Tigers Signed RHPs Eulogio De La Cruz, Preston Larrison, Humberto Sanchez, Jordan Tata, Mark Woodyard and Joel Zumaya, SS Tony Giarratano and OF Brent Clevlen to one-year contracts."
2006-02-07,Los Angeles Dodgers Signed Japanese RHP Takashi Saito to a Minor League contract and invited him to Spring Training.
2006-02-07,Brian Meadows: Signed RHP Brian Meadows to a Minor League contract.
2006-02-07,"New York Yankees Invited C Jason Brown, INFs Mitch Jones, Ramiro Pena and Marcos Vechionacci to Spring Training and announced that C Irwil Rojas will not participate in Major League camp."
2006-02-07,San Francisco Giants Signed C Todd Greene to a Minor League contract with an invitation to Spring Training.
2006-02-07,"Washington Nationals Signed 1B Larry Broadway, 3B Kory Casto, RHP Darrell Rasner, RHP Travis Hughes and LHP Mike Hinckley to one-year contracts."
2006-02-08,"Baltimore Orioles Signed RHP Jim Brower, LHP Vic Darensbourg, LHP John Halama and RHP Ryan Jensen, INF Luis Lopez and INF Desi Relaford to Minor League contracts with invitations to Spring Training; Signed OF Jeff Fiorentino, C Eli Whiteside and RHP Jeff Keefer to one-year contracts."
